"   Ноутбук Lenovo Ideapad IP3 Intel Celeron N4020, 8GB, 500GB SSD m.2 NVMe, 15.6"" (1920X1080) FULL HD IPS, WiFi, Bluetooth, DOS, Platinum Grey [81WQ00Q7AK](*id 12)https://www.link.kg/catalog/1/ ", *  24200.4 ⊆  * ,268 $
"   Acer A515-56 i5-1135G7 2.4-4.2GHz,8GB,SSD 256GB,Iris Xe Graphics,15.6"" FHD,RUS,BLACK (12мес сканер отпечатков пальцев)https://www.link.kg/catalog/1/ ", *  42170.1 ⊆  * ,467 $
"   HP Probook 450 G8 Intel Core i3-1125G4 (4ядра, 8потоков, up to 3.7Ghz), 16GB, 512GB M.2 NVMe PCIe, Intel UHD Graphics 620, 15.6"" IPS FULL HD (1920x1080), WiFi, BT, Cam, LAN RJ45, DOS, Eng-Rushttps://www.link.kg/catalog/1/ ", *  64564.5 ⊆  * ,715 $
"   Ноутбук Lenovo V15 G2 ITL Intel Core i5-1135G7(up to 4.2Ghz),12GB DDR4,500GB SSD m.2 NVMe,Int Intel Iris Xe,15.6 LED FHD(1920x1080),LAN,RJ-45,HD Webcam,Wi-Fi ,Bluetooth 5.0,DOS,чёрн,сумка[82KB014HAK](*id 12)https://www.link.kg/catalog/1/ ", *  42079.8 ⊆  * ,466 $
"   Ноутбук ASUS X509FA-BR952T Intel Core i3-10110U (4M Cache, up to 4,10 GHz) ,20GB DDR4, 1TB SSD ,Intel UHD Graphics 620,15.6"" HD , Webcam,Wi-Fi ,Bluetooth ,Win10H, Silver [90NB0MZ1-M17820](*id 12)https://www.link.kg/catalog/1/ ", *  38738.7 ⊆  * ,429 $
 Тросик для ноутбука с ключом https://www.link.kg/catalog/1/41200204,*  180.6 ⊆   *,2 $
" Second Caddy HDD вместо DVD для ноутбуков 12,7mm SATA https://www.link.kg/catalog/1/41200201",*  451.5 ⊆   *,5 $
" ПК в сборе GA-H310M, G4900, SSD 240GB, DDR4 8GB, 350W, Intel ORIGINAL, WSC(*id 12) https://www.link.kg/catalog/1/41492904",*  13545 ⊆   *,150 $
" Mini PC SHARE w, o 1200LGA 2xSODIMM DDR4 2666Hz, 1xMPCIE (128-1TB M.2), WiFi, Bluetooth, VGA, HDMI, 4xUSB, LAN, Audio [FXH510](*id 12) https://www.link.kg/catalog/1/41492935",*  17247.3 ⊆   *,191 $
" Lenovo V15 Celeron DC N4020 1.1-2.8GHz,4GB,500GB,15.6""HD,RUS,DOS HDMI, IRON GRAY https://www.link.kg/catalog/1/41503214",*  19414.5 ⊆   *,215 $
" Ноутбук Lenovo V15, Celeron N4020(up to 2.8Ghz), 4GB, 128GB SSD m.2 NVMe, 15,6"" HDLED, Intel UHD Graphics 600, без привода, WiFi+BT, HD Web Camera, FreeDOS, Iron Grey, Eng-Rus, бесшумный [82C3001NUE](*id 12) https://www.link.kg/catalog/1/41493318",*  19595.1 ⊆   *,217 $
" Lenovo V15 Celeron DC N4020 1.1-2.8GHz,4GB,1TB,15.6""HD,RUS,DOS HDMI, IRON GRAY https://www.link.kg/catalog/1/41503213",*  19595.1 ⊆   *,217 $
" Lenovo V15 Celeron DC N4020 1.1-2.8GHz,4GB,SSD 240GB,15.6""HD,RUS,DOS HDMI, IRON GRAY https://www.link.kg/catalog/1/41503216",*  20046.6 ⊆   *,222 $
" Ноутбук Lenovo V15 IGL, Celeron N4020 (up to 2.8Ghz), 4GB, 256GB SSD m.2 NVMe, 15,6""HD(1366х768),Intel UHD Graphics 600,без привода,WiFi+BT,HD Web Camera,FreeDOS, Eng-Rus,Iron Grey,бесшум [82C3001NAK](*id 12) https://www.link.kg/catalog/1/41493322",*  20136.9 ⊆   *,223 $
" Lenovo IP3 Celeron DC N4020 1.1-2.8GHz,4GB,SSD 120GB,15.6""HD,RUS,DOS HDMI, PLATINUM GRAY ( СЦ) https://www.link.kg/catalog/1/41503188",*  21130.2 ⊆   *,234 $
" Ноутбук Lenovo V15 IGL, Celeron N4020 (up to 2.8Ghz), 4GB, 256GB SSD m.2 NVMe+1TB HDD, 15,6"" HD (1366х768), Intel UHD Graphics 600, без привода, WiFi+BT, HD Web Camera, FreeDOS, Eng-Rus, Iron Grey, бесшумный [82C3001NAK](*id 12) https://www.link.kg/catalog/1/41493321",*  21220.5 ⊆   *,235 $
" Lenovo IP3 Celeron DC N4020 1.1-2.8GHz,4GB,1TB,15.6""HD,RUS,DOS HDMI, BLACK https://www.link.kg/catalog/1/41503185",*  21581.7 ⊆   *,239 $
" новая позиция1Ноутбук HP 250 G8 Intel Celeron N4020 (1.10-2.80GHz), 4GB DDR4, 1TB HDD, Intel UHD Graphics 600, 15.6""HD LED, WiFi, Bluetooth, LAN, DOS, бесшумный, серый(*id 12) https://www.link.kg/catalog/1/41493328",*  21581.7 ⊆   *,239 $
" Ноутбук Lenovo V15-82C3 Intel N4020 1.1-2.8GHz,4GB,SSD480Gb,15""HD,HDMI, IRON GRAY,NO DVDRW,Rus+Eng https://www.link.kg/catalog/1/41483614",*  23478 ⊆   *,260 $
" Ноутбук Gateway GWTN156 Intel Pentium Quad Core N5030 (up to 3.1Ghz), 4GB DDR4, 128GB SSD, Intel® UHD Graphics 605, 15.6"" LED FULL HD (1920x1080), WiFi, BT, Cam, Win10 S, Grey [GWTN156-11BK](*id 12) https://www.link.kg/catalog/1/41493316",*  22575 ⊆   *,250 $
" Ноутбук Gateway GWTN156 Intel Pentium Quad Core N5030 (up to 3.1Ghz), 4GB DDR4, 128GB SSD+1TB HDD, Intel® UHD Graphics 605, 15.6"" LED FULL HD(1920x1080), WiFi, BT, Cam, Win10 S, серый, бесшумный [GWTN156-11BK](*id 12) https://www.link.kg/catalog/1/41493315",*  22755.6 ⊆   *,252 $
" Lenovo IP3 Celeron DC N4020 1.1-2.8GHz,4GB,SSD 480GB,15.6""HD,RUS,DOS HDMI, BLACK https://www.link.kg/catalog/1/41503187",*  22755.6 ⊆   *,252 $
" Lenovo IP3 Celeron N4020 1.1-2.8GHz,4GB,1TB,15.6"" FHD,RUS,DOS HDMI, BLACK https://www.link.kg/catalog/1/41503189",*  23116.8 ⊆   *,256 $
" Notebook YEPO Silver Intel Quad Core J3455 (up to 2.3Ghz), 8GB, 128GB SSD, Intel HD Graphics, 15.6"" IPS FULL HD (1920x1080), WiFi, BT, HD WebCam, UltraSlim, Eng-Rus https://www.link.kg/catalog/1/41373539",*  23929.5 ⊆   *,265 $
" Ноутбук Gateway GWTN156 Intel Pentium Quad Core N5030 (up to 3.1Ghz), 4GB DDR4, 128GB SSD+500GB SSD, Intel® UHD Graphics 605, 15.6"" LED FULL HD(1920x1080), WiFi, BT, Cam, Win10 S, серый, бесшумный [GWTN156-11BK](*id 12) https://www.link.kg/catalog/1/41493313",*  23748.9 ⊆   *,263 $
" новая позиция1Ноутбук HP 250 G8 Intel Celeron N4020 (1.10-2.80GHz), 8GB DDR4, 480GB SSD, Intel UHD Graphics 600, 15.6""HD LED, WiFi, Bluetooth, LAN, DOS, бесшумный, серый(*id 12) https://www.link.kg/catalog/1/41493327",*  23929.5 ⊆   *,265 $
" Lenovo Ideapad V14 Iron Gray Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 500GB, AMD Radeon™ Graphics, 14.0"" LED, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374251",*  25103.4 ⊆   *,278 $
" Lenovo Ideapad V14 Iron Gray Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 1TB, AMD Radeon™ Graphics, 14.0"" LED, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374241",*  25284 ⊆   *,280 $
" Lenovo V15 G4 AMN (82YU0044UE) AMD Atlon Silver 7120U (up to 3.5Ghz), 15.6"" LED FULL HD (1920 x 1080), 8GB DDR5-4800Mhz, 128GB SSD PCIe NVMe M.2, AMD Radeon 610M Graphics, WiFi, BT 5.1, HD 720P Cam, LAN, RJ45, USB Type-C, замок Kensington, Eng-Rus DO https://www.link.kg/catalog/1/41488261",*  26548.2 ⊆   *,294 $
